epoch,train_loss,val_loss,teacher_forcing_ratio,lr
1,10.416666994669608,0.18036676588803302,1.0,0.0005
2,7.399237568561848,-1.8799053721311616,0.95,0.0005
3,-1.8122956205138958,-4.764354077781119,0.9025,0.0005
4,-4.513597497245768,-5.756277735640363,0.8573749999999999,0.0005
5,-3.9010133993003393,-3.4308801511438882,0.8145062499999999,0.0005
6,-3.5223179011718257,0.2992450285975526,0.7737809374999998,0.0005
7,-2.943623800608483,-2.953862707789351,0.7350918906249998,0.0005
8,-5.524464867906747,-6.553624048465636,0.6983372960937497,0.0005
9,-6.18530548273862,-6.039808389617176,0.6634204312890623,0.0005
10,-6.716439071592394,-7.190884008640197,0.6302494097246091,0.0005
11,-5.957309156656265,-6.5698043078911015,0.5987369392383787,0.0005
12,-7.038937309286097,-7.318224860400688,0.5688000922764597,0.0005
13,-6.637618112695086,-7.281618281108577,0.5403600876626367,0.0005
14,-7.17239936367496,-7.357174291843322,0.5133420832795048,0.0005
15,-7.156873710862883,-7.336335914890941,0.48767497911552954,0.0005
16,-7.098042490718129,-7.3337256501360635,0.46329123015975304,0.0005
17,-7.169255120413644,-7.338257591898849,0.44012666865176536,0.0005
18,-7.310532588225144,-7.413113314930985,0.4181203352191771,0.0005
19,-7.125756397352114,-7.428513201271615,0.3972143184582182,0.0005
20,-7.32486768083258,-7.3662984661939666,0.37735360253530725,0.0005
21,-7.135710032431634,-7.320433558487311,0.3584859224085419,0.0005
22,-7.322262737777207,-7.4221054751698565,0.3405616262881148,0.0005
23,-7.330784923427707,-7.358650044697087,0.323533544973709,0.00025
24,-7.364829938490312,-7.477575744070658,0.3073568677250236,0.00025
25,-7.462769995678912,-7.47614845415441,0.2919890243387724,0.00025
26,-7.451101342400352,-7.465943557460133,0.27738957312183377,0.00025
27,-7.466149641917302,-7.47899878897318,0.26352009446574204,0.00025
28,-7.3731676038804945,-7.279918914887963,0.2503440897424549,0.00025
29,-7.399261092091654,-7.3540534275334055,0.23782688525533216,0.00025
30,-7.465262447084699,-7.476197347408387,0.22593554099256555,0.00025
31,-7.419271487456101,-7.479619061074605,0.21463876394293727,0.00025
32,-7.4467632822938015,-7.4762394602705795,0.2039068257457904,0.00025
33,-7.476647864331256,-7.484635155375411,0.19371148445850087,0.00025
34,-7.450161671900487,-7.343501416648307,0.18402591023557582,0.00025
35,-7.441281004266425,-7.462746027039318,0.174824614723797,0.00025
36,-7.435666548026787,-7.47749974087971,0.16608338398760716,0.00025
37,-7.461701862104646,-7.479836638380841,0.1577792147882268,0.000125
38,-7.486909669834179,-7.4906156121230705,0.14989025404881545,0.000125
39,-7.488290650503976,-7.491008014213748,0.14239574134637467,0.000125
40,-7.48901486658788,-7.4920180599863935,0.13527595427905592,0.000125
41,-7.489454531407619,-7.491396555086461,0.12851215656510312,0.000125
42,-7.462626834492107,-7.48213912219536,0.12208654873684796,0.000125
43,-7.4875246194692755,-7.490166233807075,0.11598222130000556,0.000125
44,-7.489737935118622,-7.490885001857106,0.11018311023500528,0.000125
45,-7.489530977312025,-7.491462544697087,0.10467395472325501,0.000125
46,-7.489079003805642,-7.493445931411371,0.09944025698709225,0.000125
47,-7.489445568441035,-7.490891212370338,0.09446824413773763,0.000125
48,-7.490136523823161,-7.491969410966083,0.08974483193085075,0.000125
49,-7.4901052962292685,-7.482761394686815,0.0852575903343082,0.000125
50,-7.481185315729498,-7.4914416452733485,0.0809947108175928,6.25e-05
51,-7.4914232060149475,-7.493255952509438,0.07694497527671315,6.25e-05
52,-7.492292933411651,-7.4934193797227815,0.07309772651287749,6.25e-05
53,-7.492468637424511,-7.493280596849395,0.06944284018723361,6.25e-05
54,-7.491743975943262,-7.493253975379758,0.06597069817787193,6.25e-05
55,-7.492206688765641,-7.4905482268914945,0.06267216326897833,6.25e-05
56,-7.491428757761861,-7.492111950385861,0.05953855510552941,6.25e-05
57,-7.49078272987198,-7.493645040000358,0.056561627350252934,6.25e-05
58,-7.492570423817897,-7.493352703931855,0.053733545982740286,6.25e-05
59,-7.492611840531066,-7.493485439114455,0.051046868683603266,6.25e-05
60,-7.4926532336643765,-7.49347022684609,0.048494525249423104,6.25e-05
