timestamp,prev_close,step_1_close_mae,step_5_close_mae,step_10_close_mae,step_15_close_mae,direction_hit,regime_name,regime_indicator,temperature
2026-04-17 13:36:00+00:00,424.29,2.330291748046875,4.331024169921875,1.53912353515625,5.1837158203125,1.0,ELEVATED,0.5,1.625
2026-04-17 13:37:00+00:00,424.7,3.899932861328125,1.0185546875,18.42694091796875,13.216888427734375,1.0,ELEVATED,0.5,1.625
2026-04-17 13:38:00+00:00,425.14,5.004119873046875,6.02069091796875,2.677276611328125,7.527130126953125,1.0,CRISIS,1.0,2.25
2026-04-17 13:39:00+00:00,425.525,6.40313720703125,1.251312255859375,2.57354736328125,3.953704833984375,0.0,ELEVATED,0.5,1.625
2026-04-17 13:40:00+00:00,425.52,8.89300537109375,3.615081787109375,4.9425048828125,6.824737548828125,1.0,ELEVATED,0.5,1.625
2026-04-17 13:41:00+00:00,425.67,2.261383056640625,12.04718017578125,4.687835693359375,2.388397216796875,0.0,ELEVATED,0.5,1.625
2026-04-17 13:42:00+00:00,425.23,6.90106201171875,3.631622314453125,3.127838134765625,6.149749755859375,1.0,ELEVATED,0.5,1.625
2026-04-17 13:43:00+00:00,426.01,3.1221923828125,2.111663818359375,4.968353271484375,4.26104736328125,0.0,CRISIS,1.0,2.25
2026-04-17 13:44:00+00:00,425.47,1.474029541015625,3.775115966796875,3.91522216796875,4.83197021484375,1.0,CRISIS,1.0,2.25
2026-04-17 13:45:00+00:00,425.82,7.67913818359375,3.71282958984375,4.243133544921875,7.1593017578125,1.0,ELEVATED,0.5,1.625
2026-04-17 13:46:00+00:00,426.035,6.383453369140625,3.330902099609375,20.4373779296875,16.724456787109375,0.0,ELEVATED,0.5,1.625
2026-04-17 13:47:00+00:00,424.8,3.963592529296875,2.65673828125,8.339141845703125,9.661163330078125,0.0,CRISIS,1.0,2.25
2026-04-17 13:48:00+00:00,424.27,8.07904052734375,6.7515869140625,14.664031982421875,17.918182373046875,0.0,CRISIS,1.0,2.25
2026-04-17 13:49:00+00:00,424.88,13.45233154296875,23.069366455078125,28.304656982421875,30.87371826171875,1.0,CRISIS,1.0,2.25
2026-04-17 13:50:00+00:00,425.2,10.0567626953125,16.76580810546875,20.218109130859375,22.479949951171875,1.0,ELEVATED,0.5,1.625
2026-04-17 13:51:00+00:00,425.5,9.794464111328125,16.487518310546875,19.4951171875,22.214202880859375,1.0,ELEVATED,0.5,1.625
2026-04-17 13:52:00+00:00,425.97,10.15472412109375,17.34619140625,20.376007080078125,22.69207763671875,0.0,ELEVATED,0.5,1.625
2026-04-17 13:53:00+00:00,425.81,9.912078857421875,16.98541259765625,19.88031005859375,22.6387939453125,0.0,ELEVATED,0.5,1.625
2026-04-17 13:54:00+00:00,425.67,9.82257080078125,17.417999267578125,19.72576904296875,22.48260498046875,0.0,ELEVATED,0.5,1.625
2026-04-17 13:55:00+00:00,425.48,9.75421142578125,16.720733642578125,19.622528076171875,21.369140625,0.0,ELEVATED,0.5,1.625
2026-04-17 13:56:00+00:00,425.42,3.579498291015625,5.047607421875,10.069549560546875,12.612091064453125,1.0,ELEVATED,0.5,1.625
2026-04-17 13:57:00+00:00,425.09,1.213043212890625,9.71331787109375,11.070587158203125,5.8250732421875,1.0,ELEVATED,0.5,1.625
2026-04-17 13:58:00+00:00,424.91,3.548248291015625,10.539581298828125,3.303314208984375,12.01116943359375,1.0,ELEVATED,0.5,1.625
2026-04-17 13:59:00+00:00,424.32,5.536102294921875,11.75732421875,4.5146484375,13.11322021484375,0.0,ELEVATED,0.5,1.625
2026-04-17 14:00:00+00:00,424.74,5.270843505859375,10.614044189453125,4.283905029296875,12.409332275390625,0.0,ELEVATED,0.5,1.625
2026-04-17 14:01:00+00:00,425.065,4.564544677734375,10.364471435546875,4.271270751953125,12.70916748046875,1.0,ELEVATED,0.5,1.625
2026-04-17 14:02:00+00:00,424.76,3.253814697265625,9.846893310546875,3.5731201171875,11.886077880859375,1.0,ELEVATED,0.5,1.625
2026-04-17 14:03:00+00:00,424.63,3.631805419921875,9.449493408203125,3.57147216796875,11.595794677734375,1.0,ELEVATED,0.5,1.625
2026-04-17 14:04:00+00:00,424.575,4.674285888671875,5.817901611328125,9.12286376953125,10.90447998046875,0.0,ELEVATED,0.5,1.625
2026-04-17 14:05:00+00:00,424.46,4.28875732421875,11.078155517578125,4.624755859375,12.837249755859375,1.0,ELEVATED,0.5,1.625
2026-04-17 14:06:00+00:00,424.31,3.51318359375,10.5799560546875,4.400848388671875,12.806243896484375,0.0,ELEVATED,0.5,1.625
2026-04-17 14:07:00+00:00,424.43,4.234161376953125,11.11175537109375,4.8232421875,13.425323486328125,1.0,ELEVATED,0.5,1.625
2026-04-17 14:08:00+00:00,423.845,4.69134521484375,4.4193115234375,8.301361083984375,9.722991943359375,0.0,ELEVATED,0.5,1.625
2026-04-17 14:09:00+00:00,423.77,3.647003173828125,4.47210693359375,8.201568603515625,9.7596435546875,1.0,ELEVATED,0.5,1.625
2026-04-17 14:10:00+00:00,424.66,5.1461181640625,6.216339111328125,10.056976318359375,12.0772705078125,0.0,ELEVATED,0.5,1.625
2026-04-17 14:11:00+00:00,424.66,4.5595703125,4.553070068359375,8.13946533203125,10.546478271484375,0.0,ELEVATED,0.5,1.625
2026-04-17 14:12:00+00:00,424.54,5.168212890625,4.7615966796875,8.106842041015625,9.97247314453125,0.0,ELEVATED,0.5,1.625
2026-04-17 14:13:00+00:00,424.38,4.68585205078125,4.854644775390625,8.220611572265625,9.3626708984375,0.0,ELEVATED,0.5,1.625
2026-04-17 14:14:00+00:00,424.23,5.063812255859375,11.16656494140625,5.018951416015625,14.570068359375,0.0,ELEVATED,0.5,1.625
2026-04-17 14:15:00+00:00,424.61,6.359771728515625,13.357574462890625,5.69659423828125,16.664947509765625,0.0,ELEVATED,0.5,1.885
2026-04-17 14:16:00+00:00,424.89,1.37567138671875,10.678131103515625,12.484619140625,4.156524658203125,1.0,ELEVATED,0.5,1.885
2026-04-17 14:17:00+00:00,424.66,5.227294921875,7.606964111328125,14.197479248046875,18.684906005859375,1.0,ELEVATED,0.5,1.885
2026-04-17 14:18:00+00:00,424.2,6.340484619140625,8.191314697265625,15.460968017578125,19.709503173828125,0.0,ELEVATED,0.5,1.885
2026-04-17 14:19:00+00:00,424.24,5.886993408203125,7.309600830078125,15.32086181640625,19.165618896484375,0.0,ELEVATED,0.5,1.885
2026-04-17 14:20:00+00:00,424.63,6.362823486328125,7.192779541015625,15.2960205078125,18.718109130859375,0.0,ELEVATED,0.5,1.885
2026-04-17 14:21:00+00:00,425.08,6.249053955078125,7.05743408203125,15.993316650390625,17.93865966796875,1.0,ELEVATED,0.5,1.885
2026-04-17 14:22:00+00:00,425.055,11.9722900390625,18.388946533203125,19.446014404296875,21.99554443359375,0.0,ELEVATED,0.5,1.885
2026-04-17 14:23:00+00:00,424.53,11.008209228515625,17.33160400390625,18.58709716796875,20.717071533203125,0.0,ELEVATED,0.5,1.885
2026-04-17 14:24:00+00:00,424.45,11.17803955078125,16.73468017578125,18.461395263671875,20.415496826171875,0.0,ELEVATED,0.5,1.885
2026-04-17 14:25:00+00:00,424.39,11.15576171875,16.73809814453125,18.932891845703125,20.14288330078125,1.0,ELEVATED,0.5,1.885
2026-04-17 14:26:00+00:00,424.445,10.956298828125,16.228424072265625,19.919891357421875,20.2962646484375,1.0,ELEVATED,0.5,1.885
2026-04-17 14:27:00+00:00,424.94,11.33050537109375,16.958709716796875,20.501739501953125,21.285675048828125,1.0,ELEVATED,0.5,1.885
2026-04-17 14:28:00+00:00,425.11,10.7353515625,16.92669677734375,19.9677734375,20.820068359375,1.0,ELEVATED,0.5,1.885
2026-04-17 14:29:00+00:00,425.77,11.002899169921875,17.47674560546875,20.393096923828125,21.683685302734375,1.0,ELEVATED,0.5,1.885
2026-04-17 14:30:00+00:00,425.845,11.19305419921875,18.12677001953125,20.184295654296875,21.8270263671875,1.0,ELEVATED,0.5,1.885
2026-04-17 14:31:00+00:00,426.73,11.6568603515625,21.810760498046875,23.277862548828125,25.158905029296875,1.0,ELEVATED,0.5,1.885
2026-04-17 14:32:00+00:00,426.84,11.67547607421875,19.1431884765625,20.829803466796875,22.2625732421875,0.0,ELEVATED,0.5,1.885
2026-04-17 14:33:00+00:00,426.775,6.106719970703125,3.54931640625,12.34912109375,14.729156494140625,0.0,ELEVATED,0.5,1.885
2026-04-17 14:34:00+00:00,427.01,5.69317626953125,3.66094970703125,12.77960205078125,15.1552734375,1.0,ELEVATED,0.5,1.885
2026-04-17 14:35:00+00:00,426.66,5.330535888671875,4.8204345703125,11.940887451171875,14.620361328125,1.0,ELEVATED,0.5,1.885
2026-04-17 14:36:00+00:00,426.07,6.753082275390625,6.21240234375,10.708953857421875,13.737457275390625,0.0,ELEVATED,0.5,1.885
2026-04-17 14:37:00+00:00,426.44,5.54962158203125,4.690673828125,12.004913330078125,15.09307861328125,0.0,ELEVATED,0.5,1.885
2026-04-17 14:38:00+00:00,426.8,6.408477783203125,5.224761962890625,12.15155029296875,14.636260986328125,0.0,ELEVATED,0.5,1.885
2026-04-17 14:39:00+00:00,427.22,6.66339111328125,5.1619873046875,12.136932373046875,14.381591796875,0.0,ELEVATED,0.5,1.885
2026-04-17 14:40:00+00:00,427.64,6.3663330078125,4.820709228515625,12.76824951171875,14.50128173828125,0.0,ELEVATED,0.5,1.885
2026-04-17 14:41:00+00:00,427.89,6.7879638671875,6.03277587890625,11.916046142578125,13.552337646484375,1.0,ELEVATED,0.5,1.885
2026-04-17 14:42:00+00:00,427.87,6.590484619140625,4.972747802734375,13.004150390625,14.549163818359375,0.0,ELEVATED,0.5,1.885
2026-04-17 14:43:00+00:00,428.18,5.88800048828125,3.952056884765625,13.528167724609375,14.527740478515625,1.0,ELEVATED,0.5,1.885
2026-04-17 14:44:00+00:00,428.16,5.510040283203125,3.401519775390625,13.8380126953125,14.6929931640625,0.0,ELEVATED,0.5,1.885
2026-04-17 14:45:00+00:00,428.21,6.0341796875,3.660980224609375,13.03271484375,14.035736083984375,0.0,ELEVATED,0.5,1.885
2026-04-17 14:46:00+00:00,428.275,5.97357177734375,2.90277099609375,13.701568603515625,14.325469970703125,0.0,ELEVATED,0.5,1.885
2026-04-17 14:47:00+00:00,428.67,5.5543212890625,3.18804931640625,13.393463134765625,14.55926513671875,1.0,ELEVATED,0.5,1.885
2026-04-17 14:48:00+00:00,428.2,5.60528564453125,3.747406005859375,12.165008544921875,13.52154541015625,0.0,ELEVATED,0.5,1.885
2026-04-17 14:49:00+00:00,428.21,4.873870849609375,3.329315185546875,12.490203857421875,14.529144287109375,1.0,ELEVATED,0.5,1.885
2026-04-17 14:50:00+00:00,427.96,6.0076904296875,5.0087890625,10.907928466796875,13.608154296875,1.0,ELEVATED,0.5,1.885
2026-04-17 14:51:00+00:00,427.685,10.391265869140625,17.027679443359375,18.298736572265625,20.7974853515625,1.0,ELEVATED,0.5,1.885
2026-04-17 14:52:00+00:00,428.02,10.57818603515625,17.4398193359375,19.260406494140625,21.227935791015625,1.0,ELEVATED,0.5,1.885
2026-04-17 14:53:00+00:00,428.15,11.65643310546875,17.7032470703125,19.704986572265625,21.722625732421875,1.0,ELEVATED,0.5,1.885
2026-04-17 14:54:00+00:00,428.39,10.9541015625,17.0780029296875,19.76544189453125,21.63067626953125,1.0,ELEVATED,0.5,1.885
2026-04-17 14:55:00+00:00,428.635,11.16656494140625,17.067230224609375,20.42083740234375,21.39459228515625,0.0,ELEVATED,0.5,1.885
2026-04-17 14:56:00+00:00,428.47,10.959716796875,16.8104248046875,20.101409912109375,21.6314697265625,1.0,ELEVATED,0.5,1.885
2026-04-17 14:57:00+00:00,428.89,10.208709716796875,17.4163818359375,20.301025390625,22.224639892578125,1.0,ELEVATED,0.5,1.885
2026-04-17 14:58:00+00:00,429.59,11.22967529296875,18.448333740234375,21.428955078125,23.794342041015625,1.0,ELEVATED,0.5,1.885
2026-04-17 14:59:00+00:00,429.97,11.054779052734375,18.429473876953125,21.21807861328125,24.4454345703125,1.0,ELEVATED,0.5,1.885
2026-04-17 15:00:00+00:00,430.055,11.5975341796875,19.535888671875,21.406646728515625,24.996429443359375,1.0,ELEVATED,0.5,1.885
2026-04-17 15:01:00+00:00,430.28,11.587188720703125,19.29998779296875,21.69561767578125,24.723114013671875,0.0,ELEVATED,0.5,1.885
2026-04-17 15:02:00+00:00,430.17,5.85595703125,3.3192138671875,13.7645263671875,16.730926513671875,0.0,ELEVATED,0.5,1.885
2026-04-17 15:03:00+00:00,430.675,5.651763916015625,4.133758544921875,13.4141845703125,15.95599365234375,1.0,ELEVATED,0.5,1.885
2026-04-17 15:04:00+00:00,430.37,5.4654541015625,4.20635986328125,14.17620849609375,15.67999267578125,1.0,ELEVATED,0.5,1.885
2026-04-17 15:05:00+00:00,429.795,6.38006591796875,5.6578369140625,12.979827880859375,14.766845703125,0.0,ELEVATED,0.5,1.885
2026-04-17 15:06:00+00:00,430.065,6.602508544921875,4.9248046875,13.27166748046875,15.8775634765625,0.0,ELEVATED,0.5,1.885
2026-04-17 15:07:00+00:00,430.47,6.58734130859375,4.46075439453125,13.555450439453125,16.126373291015625,0.0,ELEVATED,0.5,1.885
2026-04-17 15:08:00+00:00,430.93,5.760467529296875,4.32086181640625,13.302703857421875,15.91522216796875,1.0,ELEVATED,0.5,1.885
2026-04-17 15:09:00+00:00,430.77,6.400299072265625,3.271026611328125,13.238006591796875,15.287506103515625,0.0,ELEVATED,0.5,1.885
2026-04-17 15:10:00+00:00,431.085,5.779815673828125,3.0418701171875,13.81182861328125,15.376007080078125,1.0,ELEVATED,0.5,1.885
2026-04-17 15:11:00+00:00,430.81,6.19586181640625,3.535614013671875,14.0726318359375,15.22967529296875,0.0,ELEVATED,0.5,1.885
2026-04-17 15:12:00+00:00,430.84,5.95489501953125,3.4825439453125,14.079559326171875,15.729248046875,0.0,ELEVATED,0.5,1.885
2026-04-17 15:13:00+00:00,430.89,4.02789306640625,3.178009033203125,14.471649169921875,16.950347900390625,1.0,ELEVATED,0.5,1.885
2026-04-17 15:14:00+00:00,429.855,11.2330322265625,19.445404052734375,22.1455078125,24.7491455078125,0.0,ELEVATED,0.5,1.885
2026-04-17 15:15:00+00:00,429.8,11.19476318359375,18.45147705078125,20.641754150390625,23.939056396484375,1.0,ELEVATED,0.5,1.885
2026-04-17 15:16:00+00:00,430.05,10.94189453125,18.85736083984375,20.633758544921875,23.889678955078125,1.0,ELEVATED,0.5,1.885
2026-04-17 15:17:00+00:00,430.305,6.285919189453125,8.45916748046875,15.947296142578125,18.048675537109375,0.0,ELEVATED,0.5,1.885
2026-04-17 15:18:00+00:00,430.77,6.146148681640625,8.461181640625,15.244140625,17.352020263671875,0.0,ELEVATED,0.5,1.885
2026-04-17 15:19:00+00:00,430.77,5.072357177734375,7.958221435546875,14.497711181640625,16.70062255859375,1.0,ELEVATED,0.5,1.885
2026-04-17 15:20:00+00:00,430.45,5.42816162109375,9.064483642578125,14.92230224609375,17.734130859375,1.0,ELEVATED,0.5,1.885
2026-04-17 15:21:00+00:00,429.87,2.10772705078125,9.462066650390625,11.645538330078125,5.487060546875,0.0,ELEVATED,0.5,1.885
2026-04-17 15:22:00+00:00,430.22,2.01507568359375,10.019134521484375,11.69842529296875,5.8203125,0.0,ELEVATED,0.5,1.885
2026-04-17 15:23:00+00:00,430.625,6.620635986328125,8.20086669921875,14.486358642578125,17.392791748046875,0.0,ELEVATED,0.5,1.885
2026-04-17 15:24:00+00:00,431.14,6.171112060546875,8.277740478515625,14.6680908203125,17.135894775390625,0.0,ELEVATED,0.5,1.885
2026-04-17 15:25:00+00:00,431.36,5.926849365234375,7.264892578125,14.29217529296875,16.47174072265625,1.0,ELEVATED,0.5,1.885
2026-04-17 15:26:00+00:00,431.17,5.496795654296875,6.56298828125,13.519012451171875,15.4697265625,1.0,ELEVATED,0.5,1.885
2026-04-17 15:27:00+00:00,431.01,5.576934814453125,7.42431640625,13.992218017578125,15.536865234375,1.0,ELEVATED,0.5,1.885
2026-04-17 15:28:00+00:00,430.61,6.663421630859375,7.7525634765625,14.8497314453125,15.65020751953125,0.0,ELEVATED,0.5,1.885
2026-04-17 15:29:00+00:00,430.82,5.093841552734375,7.2508544921875,13.81683349609375,14.5447998046875,1.0,ELEVATED,0.5,1.885
2026-04-17 15:30:00+00:00,430.33,6.377105712890625,8.635223388671875,14.97393798828125,15.82666015625,1.0,ELEVATED,0.5,1.885
2026-04-17 15:31:00+00:00,430.15,6.299163818359375,8.0919189453125,14.232177734375,15.84429931640625,0.0,ELEVATED,0.5,1.885
2026-04-17 15:32:00+00:00,430.53,5.62103271484375,7.91046142578125,13.62615966796875,15.1568603515625,1.0,ELEVATED,0.5,1.885
2026-04-17 15:33:00+00:00,430.135,6.5667724609375,8.2142333984375,13.17236328125,15.2340087890625,0.0,ELEVATED,0.5,1.885
2026-04-17 15:34:00+00:00,430.425,5.61724853515625,7.743194580078125,12.6851806640625,14.507110595703125,0.0,ELEVATED,0.5,1.885
2026-04-17 15:35:00+00:00,430.52,5.345550537109375,7.571441650390625,12.68084716796875,14.639495849609375,1.0,ELEVATED,0.5,1.885
2026-04-17 15:36:00+00:00,430.25,0.901580810546875,9.13531494140625,10.887847900390625,7.0567626953125,0.0,NORMAL,0.0,1.45
2026-04-17 15:37:00+00:00,430.29,4.5086669921875,9.92083740234375,3.16754150390625,10.640625,0.0,NORMAL,0.0,1.45
